count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24
4,-13.00,4.00,6.50,8.00,4.00,5.50,8.00,3.00,12.00,7.00,3.00,11.00,7.00,2.00,4.50,6.00,8.50,10.00,6.00,7.50,10.00,5.00,1.00,9.00,5.00,9.00
1,-6.50,2.50,3.25,5.00,2.50,1.00,1.75,3.50,4.25,3.83,1.33,2.00,2.75,4.50,5.25,2.67,1.25,3.00,3.75,5.50,5.17,1.50,2.25,4.00,4.75,4.00
23,-26.00,10.00,13.00,20.00,23.00,4.00,7.00,14.00,17.00,24.00,1.00,8.00,11.00,18.00,21.00,2.00,5.00,12.00,15.00,22.00,25.00,6.00,9.00,16.00,19.00,3.00
1,-6.50,3.00,3.25,2.75,4.63,2.50,2.75,5.50,4.13,2.00,2.25,5.00,5.25,1.50,3.38,4.50,3.13,1.00,1.25,4.00,4.25,3.75,2.38,3.50,3.75,1.88
5,-13.00,2.00,6.50,4.00,8.50,6.00,4.00,8.00,6.00,10.00,8.00,12.00,10.00,1.00,5.50,3.00,7.50,5.00,3.00,7.00,5.00,9.00,7.00,11.00,9.00,4.50
1,-4.59,2.00,2.29,1.71,1.24,2.94,1.71,1.88,2.94,3.12,1.88,1.29,1.59,3.29,3.59,1.47,1.00,2.71,3.00,1.65,2.71,2.88,1.65,2.59,2.88,3.35
1,-5.20,4.06,2.60,2.91,2.20,1.77,1.80,3.60,1.40,3.20,1.00,2.80,1.71,2.40,3.17,2.00,2.03,1.60,3.49,3.43,4.20,2.29,3.80,1.14,3.40,3.00
24,-13.00,8.00,6.50,3.00,8.00,11.00,3.00,6.00,11.00,1.00,6.00,9.00,1.00,4.00,9.00,12.00,4.00,7.00,12.00,2.00,7.00,10.00,2.00,5.00,10.00,5.00
1,-6.19,5.05,3.10,3.90,3.19,2.76,2.05,4.10,2.14,4.19,1.00,3.05,4.81,3.14,3.67,2.00,2.52,2.10,1.38,3.43,5.19,2.29,4.05,1.14,4.14,3.00
1,-6.50,1.50,3.25,3.00,4.75,4.50,3.00,2.75,4.50,1.00,2.75,2.50,1.00,4.00,2.50,5.50,4.00,3.75,5.50,2.00,3.75,3.50,2.00,5.00,3.50,1.75
1,-6.50,4.25,3.25,2.00,1.00,3.00,3.63,4.00,3.00,5.00,4.00,4.38,5.00,2.13,4.38,1.50,2.13,2.50,1.50,3.50,2.50,4.50,3.50,2.25,2.88,5.50
1,-13.00,4.00,6.50,8.00,4.00,5.50,8.00,3.00,12.00,7.00,3.00,11.00,7.00,2.00,11.00,6.00,2.00,10.00,6.00,7.50,10.00,5.00,1.00,9.00,5.00,9.00
1,-8.67,7.67,4.33,6.67,3.33,5.67,6.67,4.67,5.67,3.67,4.67,2.67,3.67,6.00,2.67,5.00,6.00,4.00,5.00,3.00,4.00,2.00,3.00,1.00,2.00,5.33
18,-26.00,16.00,13.00,6.00,3.00,22.00,19.00,12.00,9.00,2.00,25.00,18.00,15.00,8.00,5.00,24.00,21.00,14.00,11.00,4.00,1.00,20.00,17.00,10.00,7.00,23.00
1,-6.12,1.65,3.06,3.29,4.71,1.88,1.00,2.00,1.88,2.12,3.53,2.24,2.88,3.88,3.00,4.00,3.12,4.12,3.24,4.24,2.59,2.82,4.24,4.47,5.12,1.41
