count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26,a_27,a_28
1,-15.00,9.00,7.50,5.00,5.00,6.50,9.00,10.00,10.50,4.50,8.00,10.00,14.00,4.00,3.00,11.50,12.00,6.00,13.00,8.00,2.00,7.00,6.00,11.00,9.50,5.50,3.50,8.50,7.00,1.00
1,-8.57,3.43,4.29,5.71,5.00,2.00,5.57,2.86,2.57,6.00,4.00,3.57,4.86,6.29,3.29,2.00,5.29,5.14,4.00,7.57,4.57,4.57,3.00,2.29,3.14,5.43,6.57,6.57,1.00,3.71
1,-5.00,2.00,2.50,3.33,3.33,2.00,2.00,1.67,4.00,1.00,4.00,1.67,2.00,2.00,4.00,2.00,1.00,3.00,4.00,4.00,1.00,1.00,3.00,3.00,1.00,4.00,3.00,3.00,1.00,3.00
1,-7.50,6.00,3.75,5.00,5.00,3.50,6.00,2.50,4.50,3.00,2.00,2.50,3.50,1.00,4.50,1.00,3.00,1.50,3.25,2.00,4.25,5.50,1.50,6.50,4.25,3.25,6.50,4.00,5.50,4.00
1,-6.00,1.20,3.00,4.00,1.00,3.82,3.28,2.00,2.40,3.60,3.17,5.00,1.74,2.74,2.63,2.51,3.37,4.80,1.63,1.09,4.37,2.83,2.72,3.26,2.29,3.71,3.49,2.18,4.91,4.26
1,-6.00,1.80,3.00,2.00,5.00,2.30,1.80,4.00,3.60,2.40,4.10,1.00,3.80,2.80,3.60,2.80,2.40,4.20,4.60,4.10,1.40,1.90,4.20,3.20,1.40,4.60,3.20,3.70,1.90,2.20
2,-15.00,6.00,7.50,10.00,2.50,1.00,6.00,5.00,12.00,3.00,7.00,12.50,8.50,11.00,4.50,3.50,10.50,9.00,2.00,7.00,13.00,8.00,9.00,4.00,5.50,9.50,11.50,14.00,8.00,6.50
1,-3.00,1.00,1.50,1.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00
1,-10.00,2.00,5.00,5.00,5.00,2.00,7.00,5.00,4.00,6.00,4.00,5.00,2.00,7.00,9.00,7.00,1.00,8.00,4.00,4.00,6.00,6.00,3.00,3.00,6.00,4.00,3.00,8.00,6.00,8.00
1,-7.50,1.50,3.75,2.50,2.50,4.00,1.50,5.00,3.00,4.50,5.50,5.00,4.00,4.00,3.00,6.50,4.50,6.00,1.75,5.50,5.75,2.00,6.00,3.50,2.00,5.50,1.00,3.50,2.00,3.50
1,-6.00,3.60,3.00,4.00,1.00,3.60,3.60,2.00,1.20,4.80,4.20,5.00,2.60,3.60,4.20,2.60,1.80,2.40,3.20,2.20,2.80,1.80,2.40,2.40,1.80,4.20,3.40,2.40,3.80,3.40
1,-7.50,1.50,3.75,2.50,6.25,4.00,5.25,5.00,3.00,4.50,5.50,1.25,5.88,6.50,4.88,2.75,2.63,6.00,4.25,3.63,3.25,2.00,2.25,1.00,3.25,4.25,4.75,3.50,3.88,1.63
2,-6.00,4.00,3.00,2.00,5.00,4.00,3.00,4.00,4.00,2.00,4.00,1.00,3.00,2.00,3.00,5.00,3.00,2.00,2.00,3.00,4.00,2.00,3.00,4.00,1.00,5.00,1.00,2.00,3.00,3.00
1,-7.50,4.50,3.75,5.00,5.00,3.50,3.00,2.50,1.50,6.00,3.50,2.50,5.00,5.50,3.00,4.00,4.50,3.00,2.50,2.00,5.00,4.00,4.50,2.00,6.50,1.00,3.50,4.00,5.50,2.50
1,-6.00,1.20,3.00,2.00,5.00,1.20,1.20,4.00,2.40,3.60,2.40,1.00,1.20,1.20,2.40,1.20,3.60,4.80,2.40,2.40,3.60,3.60,4.80,4.80,3.60,2.40,4.80,4.80,3.60,4.80
1,-7.50,4.50,3.75,2.50,6.25,4.00,5.25,5.00,3.00,4.50,4.00,1.25,3.25,2.00,5.25,5.75,2.25,3.00,6.50,1.75,1.00,3.50,2.25,5.50,4.75,2.75,1.75,3.50,5.75,4.25
1,-5.00,2.00,2.50,1.67,1.67,3.67,2.00,3.33,1.50,3.50,3.17,3.33,3.67,2.83,4.00,1.58,1.00,3.00,2.33,3.17,2.67,1.83,3.00,2.17,2.67,2.33,3.42,1.33,1.83,1.33
1,-5.00,2.00,2.50,2.92,1.67,3.67,3.25,2.08,4.00,1.00,3.17,3.33,1.17,1.58,1.50,2.83,3.50,3.00,2.33,3.17,2.67,1.83,1.75,3.42,1.42,3.58,2.17,1.33,1.83,3.83
2,-5.00,3.50,2.50,2.50,2.50,1.00,1.00,2.50,2.00,3.00,2.00,2.50,1.00,1.00,2.00,3.50,3.00,1.50,2.00,2.00,3.00,3.00,4.00,4.00,3.00,2.00,1.50,4.00,3.00,4.00
